,uniq_id,mu0,mu1,rew_max0,rew_max1,angle,target_dot,rew,participant,session_within_participant,session,angle_diff,prior_angle_diff,angle_keep,target_change,prior_rew,color_arm0,alpha,gamma,beta,init_q,q0,q1,lik0,lik1,max_lik,prior_max_lik,target_lik,prior_target_lik
42,00055xx76MY,10.0,190.0,2.4038376418856666,3.6684481118435777,177.12230759851104,1,3,2,4,20,12.877692401488956,10.678166835326351,1.0,0.0,8,0,1.0,1.0,0.3324979887471579,0.422927363118155,0.422927363118155,3.0,0.0745119701659116,0.9254880298340884,0.9254880298340884,0.5478222432740536,0.9254880298340884,0.4521777567259464
43,00058xxf7zi,10.0,220.0,1.1629508569600622,3.778458151232959,233.8800218614056,1,3,2,4,20,13.880021861405597,12.877692401488956,1.0,0.0,3,0,1.0,1.0,0.3324979887471579,0.422927363118155,0.422927363118155,3.0,0.2979933996785396,0.7020066003214603,0.7020066003214603,0.9254880298340884,0.7020066003214603,0.9254880298340884
44,00047xx3zAP,10.0,110.0,2.457228454856681,1.0,0.6178646325686827,0,2,2,4,20,9.382135367431315,13.880021861405597,1.0,1.0,3,0,1.0,1.0,0.3324979887471579,0.422927363118155,2.0,0.422927363118155,0.2979933996785396,0.7020066003214603,0.7020066003214603,0.7020066003214603,0.2979933996785396,0.7020066003214603
45,00983xxQWYZ,270.0,110.0,5.461527152863457,2.396628790388065,269.74730762531806,0,5,2,4,20,0.252692374681942,9.382135367431315,1.0,0.0,2,0,1.0,1.0,0.3324979887471579,0.422927363118155,5.0,0.422927363118155,0.6281698621860493,0.3718301378139507,0.6281698621860493,0.7020066003214603,0.6281698621860493,0.2979933996785396
46,00875xxLiDo,240.0,110.0,2.3944956322858104,3.747903602215036,250.08425906345303,0,2,2,4,20,10.084259063453032,0.252692374681942,1.0,0.0,5,0,1.0,1.0,0.3324979887471579,0.422927363118155,2.0,0.422927363118155,0.8208133069362986,0.1791866930637013,0.8208133069362986,0.6281698621860493,0.8208133069362986,0.6281698621860493
47,01235xxAHFG,340.0,110.0,6.595016878351042,6.078443190994904,328.5358101035635,0,6,2,4,20,11.464189896436494,10.084259063453032,1.0,0.0,2,0,1.0,1.0,0.3324979887471579,0.422927363118155,6.0,0.422927363118155,0.6281698621860493,0.3718301378139507,0.6281698621860493,0.8208133069362986,0.6281698621860493,0.8208133069362986
48,00731xxL9ex,200.0,110.0,3.400413095319821,8.324881948928477,244.19339868945417,0,1,2,4,20,44.19339868945417,11.464189896436494,1.0,0.0,6,0,1.0,1.0,0.3324979887471579,0.422927363118155,1.0,0.422927363118155,0.8646388407828829,0.1353611592171171,0.8646388407828829,0.6281698621860493,0.8646388407828829,0.6281698621860493
49,01169xxVUbT,320.0,170.0,1.3829346442523898,9.67892515648572,330.1763177776015,0,1,2,4,20,10.176317777601524,44.19339868945417,0.0,0.0,1,0,1.0,1.0,0.3324979887471579,0.422927363118155,1.0,0.422927363118155,0.5478222432740536,0.4521777567259464,0.5478222432740536,0.8646388407828829,0.5478222432740536,0.8646388407828829
0,01047xxPkMH,290.0,30.0,8.600538108557938,8.977591475668158,67.23407043345702,1,3,2,5,21,37.23407043345702,360.0,-1.0,-1.0,-1,0,1.0,1.0,0.5594829926377737,1.2598177100079957,1.2598177100079957,3.0,0.5,0.5,0.5,0.5,0.5,0.5
1,01061xxf5mZ,290.0,170.0,10.0,8.212315762055434,136.8780474981299,1,4,2,5,21,33.12195250187011,37.23407043345702,1.0,0.0,3,0,1.0,1.0,0.5594829926377737,1.2598177100079957,1.2598177100079957,4.0,0.274163051012803,0.725836948987197,0.725836948987197,0.5,0.725836948987197,0.5
